"RETURN_ID","ORDER_ITEM_ID","PRODUCT_KEY","STORE_KEY","CUSTOMER_KEY","DATE_KEY","REFUND_AMOUNT","QTY_RETURNED","UNIT_PRICE","TOTAL_LOST","HAS_PROMOTION"
136,182853,7895,39,26994,20200305,4124,3,1605,4815,1
137,429242,4506,81,34968,20230605,1456,3,4000,12000,1
138,585913,4407,74,46949,20210818,4351,1,3073,3073,1
139,477089,648,59,40254,20230705,2030,3,634,1902,1
140,399354,6038,43,10209,20220926,551,2,860,1720,1
141,496339,188,82,23006,20200712,76,4,1054,4216,1
142,359948,3464,85,40539,20200317,3117,4,1508,6032,1
143,550069,7325,4,28750,20200530,3773,2,588,1176,1
144,514452,5578,5,17615,20210616,2189,2,1059,2118,1
145,38453,7624,29,25932,20230926,4971,1,4606,4606,1
146,305454,4181,20,41287,20230716,4403,3,4849,14547,1
147,130944,4962,61,28674,20220620,1156,2,3765,7530,1
148,101264,1945,79,23453,20231203,4603,4,1248,4992,1
149,7312,4818,19,24212,20231114,2729,3,1596,4788,1
150,377494,4857,93,45647,20221215,2852,3,1913,5739,1
151,236445,4924,29,8659,20230903,2176,2,1945,3890,1
152,49729,2993,24,24393,20210530,2255,2,2716,5432,1
153,354340,6459,82,26493,20210201,3963,3,2708,8124,1
154,354651,8461,45,7216,20201120,4555,1,4652,4652,1
155,42966,1069,10,12112,20211120,2190,3,3682,11046,1
156,320098,5947,13,5785,20210428,4328,3,3818,11454,1
157,248882,9448,16,49481,20220423,2154,4,1170,4680,1
158,109843,7274,79,22494,20200514,4384,1,3447,3447,1
159,41737,8974,2,15156,20220220,2840,2,996,1992,1
160,529103,1922,69,37783,20230524,3818,4,2515,10060,1
161,210661,5567,24,20568,20230129,4997,2,2013,4026,1
162,151470,4579,12,3505,20200625,2923,1,2437,2437,1
163,512438,1385,14,35702,20200329,4138,3,4443,13329,1
164,599225,2819,49,30770,20210619,719,4,4113,16452,1
165,137291,3709,12,13778,20230817,1225,4,731,2924,1
166,345204,4648,50,27043,20230212,125,3,3049,9147,1
167,294024,6498,76,7453,20211224,3643,2,4382,8764,1
168,201327,9567,19,42943,20230320,1048,4,1722,6888,1
169,10547,263,63,352,20200221,603,2,1665,3330,1
170,192660,3487,80,29483,20210908,763,3,553,1659,1
171,501882,728,93,11302,20210312,2357,1,2384,2384,1
172,78256,573,16,43920,20230624,283,1,4015,4015,1
173,114879,8020,62,7016,20221210,3187,2,1902,3804,1
174,537785,7205,22,42188,20200218,2174,2,1248,2496,1
175,50858,2528,16,3075,20230420,220,2,3451,6902,1
176,589726,7118,71,29298,20230810,2679,3,1128,3384,1
177,405792,9008,74,4104,20200726,676,4,1898,7592,1
178,394012,2741,79,7998,20230130,2546,1,1979,1979,1
179,214427,318,11,48375,20200822,4763,4,1536,6144,1
180,96299,356,93,41552,20200802,3780,3,3247,9741,1
181,455649,3233,36,21407,20220325,3001,2,2299,4598,1
182,184304,3205,62,5888,20231216,4786,4,1864,7456,1
183,461227,8744,78,11834,20210819,3482,3,4703,14109,1
184,5213,8371,39,10572,20211213,304,2,2414,4828,1
185,78379,448,48,25291,20211125,3891,4,376,1504,1
186,555585,9749,14,21796,20210326,2526,3,975,2925,1
187,193082,7283,32,45255,20200904,3043,3,579,1737,1
188,261543,3227,13,11993,20211229,3900,1,898,898,1
189,582605,7904,94,6353,20220703,725,2,4969,9938,1
190,471185,6110,1,48537,20220809,1012,2,1173,2346,1
191,266444,9859,87,32348,20210312,2307,3,1500,4500,1
192,367457,1323,35,34790,20200529,3493,1,249,249,1
193,422486,2948,24,10727,20200719,3962,1,3160,3160,1
194,266912,44,74,10340,20230430,2806,1,120,120,1
195,352135,5329,45,44912,20210309,392,1,2865,2865,1
196,351186,4543,48,12886,20230415,2659,2,4778,9556,1
197,118849,1128,43,16661,20230630,879,3,4043,12129,1
198,472024,2120,36,44183,20230930,1358,2,998,1996,1
199,6326,415,14,39300,20201204,4811,1,1206,1206,1
200,141648,396,37,29575,20210307,2245,3,3081,9243,1
201,454792,2054,19,20752,20211124,4822,2,1770,3540,1
202,218921,7672,52,23373,20230327,3596,4,1474,5896,1
203,593506,7721,32,10242,20200124,449,4,1726,6904,1
204,563604,5201,72,14935,20231210,237,1,2749,2749,1
205,393384,3543,81,17515,20210323,1279,2,4583,9166,1
206,188226,2518,51,49942,20221118,409,4,3210,12840,1
207,411230,5159,56,26084,20210805,3243,1,4910,4910,1
208,367438,5598,38,40811,20210927,818,3,602,1806,1
209,455546,4470,16,27444,20201028,2918,1,4200,4200,1
210,37045,8689,5,5766,20210210,4830,1,2414,2414,1
211,215024,7164,100,17677,20200219,2589,4,4975,19900,1
212,48261,9712,70,15279,20220228,3332,2,4071,8142,1
213,320604,6533,97,48353,20210713,786,3,3487,10461,1
214,483681,2886,94,33089,20230122,1641,2,1356,2712,1
215,332022,3305,37,46298,20200227,3475,1,2263,2263,1
216,585330,390,78,8878,20231125,4793,4,760,3040,1
217,50040,2127,22,13964,20230213,3790,2,1499,2998,1
218,409985,3956,51,30043,20220309,1849,3,4006,12018,1
219,520759,5126,78,42758,20231003,3292,3,228,684,1
220,51485,997,43,30305,20231103,281,4,1644,6576,1
221,359839,1440,28,89,20220713,1877,3,4370,13110,1
222,596927,921,41,18195,20230528,3109,2,2862,5724,1
223,173595,8054,78,34557,20200321,1491,4,2166,8664,1
224,158258,8286,7,4004,20220210,4481,1,4073,4073,1
225,377444,2964,35,19390,20201108,2494,1,2514,2514,1
226,259720,6001,87,18909,20230224,516,2,3101,6202,1
227,446958,7605,17,28820,20220412,2907,1,3482,3482,1
228,205653,4823,23,24525,20200630,441,4,3408,13632,1
229,6076,9627,60,25530,20220121,1112,3,2707,8121,1
230,575167,5615,91,26653,20200106,1277,2,2193,4386,1
231,316907,4052,63,24311,20200906,660,1,2799,2799,1
232,297513,8504,88,42676,20220212,4015,2,2767,5534,1
233,520651,5661,14,22513,20230223,1321,2,1425,2850,1
234,62194,5142,10,26105,20210117,2524,2,4598,9196,1
235,152652,210,6,36765,20220703,3357,3,3539,10617,1
236,150625,8805,76,39689,20211014,3228,2,4351,8702,1
237,375545,6591,26,26152,20200331,2914,3,1347,4041,1
238,583282,4241,86,33374,20210902,689,4,4484,17936,1
239,189532,6919,50,30171,20200912,3778,2,4892,9784,1
240,202827,2457,46,17785,20230131,4492,2,2776,5552,1
241,45623,9866,85,38265,20210224,3249,1,3434,3434,1
242,286345,3168,12,38890,20200411,4274,4,939,3756,1
243,248823,7022,57,31760,20201012,126,2,4944,9888,1
244,118731,5590,63,11788,20210520,4521,3,4504,13512,1
245,536973,1380,49,24740,20210620,4714,2,4393,8786,1
246,472322,6640,21,2209,20221215,4377,3,3805,11415,1
247,284542,8379,81,44641,20220612,1882,2,2256,4512,1
248,267933,2449,24,43431,20220613,4293,1,1237,1237,1
249,371605,1151,20,33679,20230515,4634,1,2038,2038,1
250,4021,4753,3,25196,20201003,2804,2,4462,8924,1
251,512586,3425,38,21701,20200328,3086,1,2917,2917,1
252,319036,1859,27,49789,20230711,970,3,2076,6228,1
253,379277,8261,7,8387,20201010,1778,3,3749,11247,1
254,183041,9347,55,23032,20210927,602,3,2133,6399,1
255,89194,4167,80,6831,20231208,1419,1,2126,2126,1
256,377697,2045,15,35323,20201108,4371,3,2577,7731,1
257,220913,7044,96,44939,20220916,3772,2,3433,6866,1
258,397432,9887,36,44110,20220515,756,4,4565,18260,1
259,559282,2817,36,24935,20230119,4813,2,2950,5900,1
260,378855,1444,80,42604,20231017,2302,3,2444,7332,1
261,240535,5322,90,23712,20220626,4944,4,1300,5200,1
262,583438,2155,23,17367,20220717,3511,4,953,3812,1
263,339515,2162,60,16143,20221119,3132,4,140,560,1
264,118653,9415,14,9427,20221210,2107,3,3501,10503,1
265,456757,8496,11,45244,20220331,2335,1,2693,2693,1
266,295429,1556,45,8934,20221012,3190,1,2368,2368,1
267,522166,5790,29,18967,20201102,4566,1,1225,1225,1
268,67538,7825,2,15232,20231025,3985,3,1299,3897,1
269,41442,8037,6,14461,20210613,2467,1,2307,2307,1
270,523308,7795,38,10381,20210825,1323,2,252,504,1
271,427091,5289,86,33128,20200318,2022,2,3139,6278,1
272,100552,9595,73,45487,20230214,1936,1,4131,4131,1
273,414655,8017,47,13013,20230218,3165,4,3218,12872,1
274,443365,7093,64,37454,20230726,639,4,316,1264,1
275,194763,3092,13,10008,20211116,3792,2,2504,5008,1
276,568860,7193,18,41792,20210823,2036,3,3335,10005,1
277,291824,8810,29,15713,20220904,1075,3,4454,13362,1
278,257794,4991,1,41230,20210914,4238,1,1780,1780,1
279,343627,2399,91,25284,20220417,2892,4,4334,17336,1
280,436351,9979,18,12438,20220703,2348,4,3020,12080,1
281,360764,8867,27,28169,20201018,697,4,249,996,1
282,190427,4567,88,8538,20221213,3964,3,3319,9957,1
283,209422,2104,9,45729,20201117,382,2,1195,2390,1
284,65511,9757,14,32577,20200221,4875,4,4659,18636,1
285,445355,5455,70,13098,20210406,366,4,2685,10740,1
286,21307,4955,21,26541,20200601,660,4,342,1368,1
287,394781,7481,24,49575,20230111,4476,4,4617,18468,1
288,367155,2220,84,20319,20220803,3582,2,2829,5658,1
289,21542,3093,80,47319,20210711,2723,1,2766,2766,1
290,334338,8034,37,27972,20220714,280,1,2449,2449,1
291,593507,3504,72,8549,20230628,2508,3,4249,12747,1
292,535427,1848,89,35862,20200910,3115,3,4108,12324,1
293,19300,5147,26,32614,20201108,3974,2,4982,9964,1
294,327480,3803,49,3837,20230111,406,1,3446,3446,1
295,333380,2046,16,30667,20230412,3296,2,360,720,1
296,279220,8949,12,14615,20211029,556,2,3400,6800,1
297,214753,7907,93,11140,20210513,2896,4,2020,8080,1
298,172735,5475,37,31874,20200626,377,1,1832,1832,1
299,482273,1008,69,3233,20231028,719,1,3743,3743,1
300,115599,8065,64,48206,20230427,4938,3,1079,3237,1
301,133319,317,45,23020,20200309,987,1,1657,1657,1
302,542768,1943,74,45995,20230501,4005,2,491,982,1
303,234168,5096,99,42982,20211017,2933,3,3523,10569,1
304,411501,1730,91,35545,20210614,349,4,2391,9564,1
305,229811,6224,82,30837,20220805,3013,1,1408,1408,1
306,264607,9825,58,38053,20200415,1705,4,1145,4580,1
307,357106,7645,55,48064,20210331,1035,3,882,2646,1
308,525488,3473,17,37345,20231104,3045,2,4020,8040,1
309,67821,6111,22,5500,20221210,2837,4,2093,8372,1
310,328497,7166,69,39602,20200521,1472,2,1795,3590,1
311,274289,6979,39,1293,20200330,4158,1,2288,2288,1
312,462771,8589,17,1151,20220330,441,3,3205,9615,1
313,355320,1231,90,13216,20220505,934,2,4667,9334,1
314,390608,7354,64,39297,20200804,2542,2,734,1468,1
315,83395,926,65,38308,20230127,3288,4,4542,18168,1
316,412201,8605,12,41757,20201029,3022,4,1453,5812,1
317,383245,2730,37,6978,20201216,2324,3,3753,11259,1
318,270208,6068,23,40246,20211208,2328,1,1430,1430,1
319,264621,2487,13,36500,20210312,1242,3,2646,7938,1
320,34812,4674,5,37669,20200731,3658,1,3587,3587,1
321,309184,9819,55,19283,20221212,219,1,4734,4734,1
322,254001,9590,67,12603,20210627,1700,1,1094,1094,1
323,191555,8141,84,12098,20221213,1638,3,4703,14109,1
324,387442,6951,45,46878,20231019,3835,1,2406,2406,1
325,496984,2888,96,42799,20231020,2806,2,1389,2778,1
326,507955,6290,57,40140,20220615,3723,3,4420,13260,1
327,473278,2390,61,2967,20211025,335,4,4750,19000,1
328,1605,4018,31,1438,20220503,3827,4,195,780,1
329,181835,3126,46,19372,20200419,3344,2,4170,8340,1
330,502677,2155,96,8837,20220529,4222,2,3861,7722,1
331,60513,5893,77,15221,20221011,3646,3,3119,9357,1
332,568930,731,31,39208,20200623,4782,4,2714,10856,1
333,241638,2719,57,47318,20200428,1825,2,4149,8298,1
334,516089,6358,75,43087,20201224,4983,4,3754,15016,1
335,426927,7329,17,9685,20230802,2644,3,4043,12129,1
336,251684,2945,12,48967,20210602,409,4,2296,9184,1
337,556615,251,87,21846,20220427,4133,3,569,1707,1
338,293794,9790,17,20305,20210209,1344,3,4965,14895,1
339,508208,4131,90,32185,20230809,1655,3,1506,4518,1
340,275241,9733,45,8819,20211217,1126,2,2415,4830,1
341,305364,4836,71,30782,20220622,693,1,3963,3963,1
342,163537,847,99,15407,20200630,3082,3,4561,13683,1
343,142006,8034,49,16927,20210923,1623,4,4978,19912,1
344,580280,7106,87,25244,20200314,1197,4,3262,13048,1
345,2549,7124,51,36443,20201205,1878,1,2076,2076,1
346,13319,2944,40,5846,20230331,3683,4,4580,18320,1
347,558177,3956,2,48373,20200414,3606,2,3686,7372,1
348,416656,8605,64,13146,20230801,3823,2,2399,4798,1
349,507952,9331,27,6305,20231109,2697,1,272,272,1
350,225619,4079,9,16009,20220424,238,1,2069,2069,1
351,520665,7411,34,1443,20221230,4596,1,2453,2453,1
352,187187,4401,30,9032,20220918,3887,3,4533,13599,1
353,327782,661,98,23065,20201215,2441,3,3287,9861,1
354,132851,2830,89,8097,20220619,1988,1,1216,1216,1
355,483776,1652,86,26344,20230509,1800,4,4954,19816,1
356,389763,2218,15,49359,20201204,3607,1,3378,3378,1
357,297295,6132,78,23835,20230715,4481,2,3440,6880,1
358,32474,5721,7,31273,20210809,3831,4,4045,16180,1
359,120545,8014,15,575,20231101,4821,3,615,1845,1
360,102464,4352,98,24095,20201130,4318,4,4187,16748,1
361,3453,717,1,4615,20200529,3176,1,4927,4927,1
362,486142,8338,10,41986,20220806,3850,2,3815,7630,1
363,116266,2436,71,10085,20220603,4255,4,519,2076,1
364,164919,9792,25,3886,20201218,1850,2,1380,2760,1
365,194377,2886,99,37270,20230821,2443,2,1402,2804,1
366,561320,4595,99,27876,20200517,1066,1,2824,2824,1
367,244192,8007,50,19651,20210125,4576,1,1346,1346,1
368,195016,8737,65,43877,20201213,2854,3,4516,13548,1
369,232249,566,17,25365,20211007,3995,4,3876,15504,1
370,294229,2917,16,24012,20231207,1919,3,266,798,1
371,159076,2130,90,47695,20230530,4868,4,2929,11716,1
372,243531,8899,94,21910,20200429,1182,3,4590,13770,1
373,519920,8789,71,15157,20201203,952,1,4326,4326,1
374,416644,4924,83,31640,20210807,1461,1,3770,3770,1
375,153465,3111,81,33380,20200113,4858,2,3612,7224,1
376,185934,6528,66,47539,20230225,3312,4,3773,15092,1
377,526346,5576,86,6468,20200707,1942,4,4425,17700,1
378,199349,7445,60,31357,20210614,3578,2,2041,4082,1
379,18391,9503,55,48351,20201121,2981,3,157,471,1
380,236158,197,16,26009,20221107,4263,3,4975,14925,1
381,274037,5242,74,25198,20230621,3738,1,1563,1563,1
382,218390,1021,82,44388,20211002,189,1,4922,4922,1
383,469950,3895,60,25431,20201014,3016,1,4877,4877,1
384,89479,2709,15,6542,20200517,3611,4,4531,18124,1
385,479686,2043,55,39379,20210821,1289,1,225,225,1
386,516593,9946,10,40808,20220309,4601,1,1623,1623,1
387,275699,6796,42,21895,20231112,3954,2,3013,6026,1
388,428626,2022,77,26584,20221229,3378,4,2839,11356,1
389,6565,1799,51,2406,20220625,3993,3,2298,6894,1
390,599449,4948,32,10865,20220806,1433,1,4016,4016,1
391,158156,4108,17,11838,20211230,3941,4,612,2448,1
392,337911,1263,64,20637,20231004,2170,4,2613,10452,1
393,175005,6384,48,20009,20210809,1809,1,2739,2739,1
394,86871,897,52,3776,20220627,1158,4,3293,13172,1
395,17238,5608,50,27656,20201230,4252,4,2873,11492,1
396,226657,93,9,3389,20210612,1487,1,928,928,1
397,586295,5780,84,49336,20210329,2815,4,4459,17836,1
398,537885,7958,80,13276,20200229,4516,1,2000,2000,1
399,389104,8551,12,26657,20201011,4788,3,3406,10218,1
400,422912,9579,7,39080,20220419,529,4,2965,11860,1
401,520260,2420,92,24746,20231001,2168,2,911,1822,1
402,393020,8211,90,23558,20210519,2721,3,4290,12870,1
403,276403,5631,11,2790,20200617,4914,4,3939,15756,1
404,486845,2510,33,32297,20200531,1741,2,1021,2042,1
405,289524,1676,84,12734,20201102,4135,4,121,484,1
406,408409,4353,65,46371,20200611,2632,4,1724,6896,1
407,59682,4728,35,19232,20200809,385,1,3255,3255,1
408,239110,1183,42,7506,20201207,3673,2,2262,4524,1
409,189849,7261,77,40116,20211215,1540,4,3230,12920,1
410,104046,489,98,24571,20210613,795,2,2172,4344,1
411,164370,4640,52,41732,20230514,2116,2,3231,6462,1
412,460450,9325,93,28163,20221207,320,2,4333,8666,1
413,176248,4006,58,17462,20210214,3183,1,1010,1010,1
414,143499,7274,22,48829,20220815,2003,1,4261,4261,1
415,371338,3547,94,46674,20201210,3932,3,957,2871,1
416,481702,2455,28,23669,20210515,2076,2,3561,7122,1
417,338532,4100,2,38996,20211124,602,3,4833,14499,1
418,20094,1291,7,136,20200124,3816,4,4276,17104,1
419,417017,9970,85,34250,20200211,4603,3,3592,10776,1
420,127276,6489,7,31759,20210703,4815,2,4296,8592,1
421,339583,171,21,23380,20200226,562,3,4491,13473,1
422,524524,1377,93,44275,20201228,4185,1,3253,3253,1
423,174777,3875,59,40160,20200902,4973,4,505,2020,1
424,523080,8292,66,32477,20200926,1845,4,4231,16924,1
425,448870,420,7,44452,20230910,4415,4,1291,5164,1
426,57626,9490,18,30507,20210107,1440,2,3750,7500,1
427,408672,8973,78,46103,20221213,2304,4,3481,13924,1
428,479304,709,59,43508,20210705,3810,4,396,1584,1
429,262736,3484,57,9237,20200625,1896,2,2097,4194,1
430,332589,2754,34,14227,20211204,817,1,1212,1212,1
431,72373,6317,64,8047,20220909,2890,3,604,1812,1
432,222156,2095,27,29604,20210928,1554,1,4877,4877,1
433,85422,6506,3,31441,20210313,2264,2,2860,5720,1
434,265740,4230,49,44295,20221009,792,3,479,1437,1
435,135219,4627,99,47201,20221118,4180,4,1661,6644,1
436,23351,5412,86,11223,20201029,2868,1,1652,1652,1
437,502485,2198,69,633,20220208,4991,1,1543,1543,1
438,448411,919,55,44249,20231026,1843,3,2443,7329,1
439,493802,8645,95,32936,20200616,3683,1,3473,3473,1
440,462878,9067,98,40670,20211120,1591,1,3514,3514,1
441,381951,3575,59,38242,20201120,2025,4,1115,4460,1
442,215601,8235,18,28184,20220517,2867,4,3190,12760,1
443,459673,9858,70,3844,20220204,1061,3,1527,4581,1
444,85748,2706,60,47034,20230101,1142,2,3051,6102,1
445,424068,277,40,21917,20230124,3206,4,2695,10780,1
446,267397,7379,24,28593,20230528,1216,1,1236,1236,1
447,234967,8754,99,31690,20200820,2155,4,4416,17664,1
448,97810,5858,86,8232,20210306,3249,4,4618,18472,1
449,465606,803,67,15304,20200316,2145,3,3502,10506,1
450,343570,7215,7,18348,20200325,159,3,1895,5685,1
451,451815,7487,8,8670,20220528,4453,4,4244,16976,1
452,511131,6116,75,3885,20221111,1790,2,2734,5468,1
453,523901,4805,40,37732,20231022,1912,4,1819,7276,1
454,553187,7131,63,25214,20230906,4375,4,2430,9720,1
455,134146,1164,81,47104,20210206,4181,1,4152,4152,1
456,253198,3013,90,36295,20221001,2709,4,1871,7484,1
457,549083,6108,29,19584,20200925,4871,2,3906,7812,1
458,307480,3278,75,36607,20230130,3899,2,4404,8808,1
459,525467,4736,1,15138,20230120,1650,1,3186,3186,1
460,424330,8659,51,34609,20200510,2288,4,1567,6268,1
461,108344,8795,91,45146,20211222,773,4,2530,10120,1
462,588013,9393,35,48562,20210301,1640,4,2042,8168,1
463,185476,8634,1,35522,20210329,4527,3,1325,3975,1
464,173104,9283,32,15288,20200102,3289,1,3843,3843,1
465,358247,6642,72,47258,20211112,2498,4,1167,4668,1
466,339118,1180,51,44083,20200426,2409,1,431,431,1
